Step,GAN_A-202102240258 - loss
0,2.570128918
1,1.48885417
2,1.166988134
3,1.954890609
4,1.471142292
5,0.975047708
6,0.978700638
7,1.05030334
8,3.048025608
9,0.967586994
10,2.220299244
11,0.902400255
12,0.820692003
13,2.801948547
14,0.94595933
15,0.969459593
16,1.774790168
17,0.930653811
18,2.767398357
19,0.908455491
20,1.348746538
21,0.925338209
22,2.49812603
23,0.988418102
24,2.131991148
25,1.347168207
26,1.011447668
27,1.409028292
28,1.109623909
29,1.006204247
30,0.937977314
31,3.251473904
32,1.736060143
33,0.987031579
34,0.98173058
35,0.994269729
36,1.068180561
37,1.034494281
38,0.979588032
39,0.993178368
40,1.251967669
41,1.098743796
42,4.092264175
43,1.156397104
44,1.358319879
45,0.98777777
46,0.951540232
47,0.968191624
48,1.376704216
49,1.867147088
50,1.183887005
51,0.956458688
52,1.000504255
53,0.986332476
54,0.959523678
55,0.972786486
56,1.274831057
57,1.919677258
58,0.921513081
59,1.348199129
60,0.992875576
61,1.089316368
62,0.959294677
63,0.949684203
64,1.109558821
65,1.020481229
66,0.993510008
67,0.913731456
68,1.555076838
69,1.29078722
70,0.932806134
71,1.903994322
72,0.96696943
73,1.052950621
74,1.019446492
75,0.951694727
76,1.155423522
77,1.054061174
78,0.976004481
79,0.955348253
80,1.204210162
81,1.072973967
82,1.083273411
83,1.014881611
84,0.973245978
85,1.33560884
86,1.001861811
87,1.660340548
88,1.01599586
89,0.997661471
90,1.541787148
91,0.948991537
92,0.959721744
93,2.108606339
94,0.982973933
95,0.905880332
96,0.952744603
97,1.116054535
98,1.028380394
99,0.970681429
100,0.981627941
101,0.986572027
102,1.151032686
103,1.014305115
104,1.750278354
105,1.012534976
106,1.597852945
107,0.986073315
108,1.217842579
109,1.450560451
110,1.091875792
111,1.179726601
112,2.030104637
113,1.025685072
114,0.994718432
115,1.150342941
116,1.058979988
117,0.987312615
118,0.996203005
119,0.990091681
120,0.996679544
121,0.984441578
122,0.920123577
123,0.946685433
124,1.173616648
125,1.003306508
126,1.365527391
127,0.923899233
128,1.055976391
129,0.975284457
130,1.223097563
131,0.851737142
132,1.422020912
133,0.949633002
134,0.978377819
135,1.050200701
136,2.418401718
137,0.981735826
138,0.917287469
139,1.343283415
140,0.980362892
141,0.910281718
142,0.996554613
143,1.913549542
144,0.951840162
145,0.870757222
146,0.962025642
147,0.994473994
148,0.977679491
149,0.951492012
150,1.373026848
151,0.966556191
152,0.921137631
153,0.908687472
